0: JPT.DTableType.DTABLE_UNKNOWN
5: JPT.DTableType.DTABLE_BODY
3: JPT.DTableType.DTABLE_SHAPE
7: JPT.DTableType.DTABLE_NODE
8: JPT.DTableType.DTABLE_ELEM
15: JPT.DTableType.DTABLE_LOCAL_SETTING
16: JPT.DTableType.DTABLE_MATERIAL
18: JPT.DTableType.DTABLE_COORDINATE
19: JPT.DTableType.DTABLE_LOADCASE
20: JPT.DTableType.DTABLE_LBC_START
55: JPT.DTableType.DTABLE_LBC_END
56: JPT.DTableType.DTABLE_FIELD_DATA
59: JPT.DTableType.DTABLE_GROUP
61: JPT.DTableType.DTABLE_PROPERTY
63: JPT.DTableType.DTABLE_CONNECTION
64: JPT.DTableType.DTABLE_CONTACT
67: JPT.DTableType.DTABLE_ADVCPROCESS
68: JPT.DTableType.DTABLE_ADVCJOB
69: JPT.DTableType.DTABLE_ABAQSTEPS
70: JPT.DTableType.DTABLE_ABAQUSJOB
71: JPT.DTableType.DTABLE_ANSYSJOB
72: JPT.DTableType.DTABLE_NASTRANJOB
73: JPT.DTableType.DTABLE_DYNAMISJOB
75: JPT.DTableType.DTABLE_ACTRANJOB
76: JPT.DTableType.DTABLE_LSDYNAJOB
